x,y
2.145904261,60.53740532
4.494079073,133.0483288
2.652087851,72.78622132
3.443863233,96.93074786
2.81281615,112.2925469
4.86755799,146.484171
3.410598502,116.2289687
1.293729809,86.93887645
1.579982063,68.63869086
3.864436199,110.6455921
3.978737984,110.9484848
2.794841736,123.6061345
3.154947426,116.3419541
2.490347818,106.5020612
4.532779214,129.4903383
2.25783498,95.52823058
1.545634325,82.59746559
2.896781148,120.4989817
0.447010184,61.8251053
4.764052346,132.7135192
1.74720464,96.57899391
2.02272212,77.59541793
3.045758517,85.86387201
2.561925698,96.14519265
3.761037725,106.7937672
3.144043571,96.82483997
2.78725972,96.64448923
4.202379849,128.176578
2.612673183,100.9249167
5.240893199,130.1255268
3.777490356,126.4581865
3.156348969,108.1428822
1.386102152,83.43976812
4.950775395,127.1922739
3.400157208,94.72097548
4.46935877,104.5950419
4.454273507,112.9368645
2.697697249,107.4930652
3.313067702,107.5418308
3.333674327,103.312643
5.269754624,123.5072303
2.848642792,97.17431301
3.121675016,90.82305061
3.37816252,92.43984146
3.653618595,97.50576779
3.950088418,121.484417
4.230290681,118.4995213
2.112214252,113.5422799
1.951447035,96.94399143
1.019203532,91.3939696
